stocksymbol,max_profit
s1,0
s10,0
s100,0
s1000,0
s10000,0
s10001,0
s10002,0
s10003,0
s10004,0
s10005,0
s10006,0
s10007,0
s10008,0
s10009,0
s1001,0
s10010,0
s10011,0
s10012,0
s10013,0
s10014,0
s10015,0
s10016,2
s10017,0
s10018,0
s10019,4
s1002,4
s10020,0
s10021,0
s10022,3
s10023,0
s10024,0
s10025,0
s10026,0
s10027,0
s10028,0
s10029,0
s1003,4
s10030,0
s10031,0
s10032,4
s10033,11
s10034,0
s10035,3
s10036,5
s10037,0
s10038,0
s10039,0
s1004,0
s10040,0
s10041,0
s10042,0
s10043,0
s10044,0
s10045,0
s10046,4
s10047,0
s10048,0
s10049,0
s1005,0
s10050,0
s10051,5
s10052,0
s10053,0
s10054,0
s10055,0
s10056,2
s10057,0
s10058,0
s10059,0
s1006,1
s10060,0
s10061,0
s10062,0
s10063,2
s10064,0
s10065,0
s10066,0
s10067,0
s10068,0
s10069,0
s1007,0
s10070,0
s10071,0
s10072,0
s10073,0
s10074,0
s10075,0
s10076,0
s10077,4
s10078,0
s10079,0
s1008,0
s10080,0
s10081,2
s10082,5
s10083,0
s10084,0
s10085,0
s10086,3
s10087,0
s10088,0
s10089,0
s1009,5
s10090,0
s10091,0
s10092,0
s10093,0
s10094,0
s10095,0
s10096,0
s10097,0
s10098,0
s10099,0
s101,0
s1010,0
s10100,0
s10101,0
s10102,0
s10103,0
s10104,0
s10105,0
s10106,0
s10107,0
s10108,0
s10109,0
s1011,0
s10110,0
s10111,0
s10112,0
s10113,0
s10114,0
s10115,0
s10116,2
s10117,3
s10118,7
s10119,5
s1012,4
s10120,0
s10121,3
s10122,0
s10123,0
s10124,0
s10125,0
s10126,0
s10127,0
s10128,0
s10129,0
s1013,3
s10130,0
s10131,0
s10132,0
s10133,0
s10134,0
s10135,0
s10136,0
s10137,0
s10138,0
s10139,0
s1014,0
s10140,0
s10141,0
s10142,0
s10143,0
s10144,0
s10145,0
s10146,0
s10147,0
s10148,0
s10149,0
s1015,0
s10150,0
s10151,8
s10152,4
s10153,7
s10154,0
s10155,4
