stocksymbol,time,quantity,price,unweighted_moving_avg_price
s17675,1,7453,388,388.0
s42796,2,638,278,278.0
s27038,3,9555,173,173.0
s23277,4,6915,340,340.0
s2393,5,5989,133,133.0
s37551,6,4560,123,123.0
s18467,7,5093,485,485.0
s28494,8,1652,417,417.0
s10640,9,1790,176,176.0
s35404,10,1930,255,255.0
s56842,11,1196,374,374.0
s17415,12,5906,491,491.0
s2461,13,3094,357,357.0
s25193,14,9066,177,177.0
s13421,15,6444,135,135.0
s23330,16,5691,429,429.0
s69788,17,404,261,261.0
s30778,18,7843,273,273.0
s35865,19,5422,240,240.0
s54710,20,961,154,154.0
s26530,21,3977,194,194.0
s3995,22,6764,394,394.0
s67850,23,4262,316,316.0
s66655,24,2022,334,334.0
s1576,25,3483,411,411.0
s11509,26,5261,119,119.0
s17692,27,6518,377,377.0
s33876,28,8234,420,420.0
s50093,29,8680,443,443.0
s24454,30,704,405,405.0
s58670,31,239,127,127.0
s60239,32,453,271,271.0
s13080,33,180,120,120.0
s15565,34,9672,58,58.0
s8461,35,1634,215,215.0
s35804,36,8906,391,391.0
s61979,37,8751,128,128.0
s59449,38,9642,455,455.0
s54893,39,269,167,167.0
s57582,40,8171,207,207.0
s35294,41,9910,184,184.0
s9704,42,948,397,397.0
s55146,43,1087,335,335.0
s64661,44,3023,97,97.0
s51990,45,5814,103,103.0
s5291,46,2871,453,453.0
s33160,47,8245,124,124.0
s61734,48,6141,122,122.0
s37266,49,5806,171,171.0
s13566,50,4837,380,380.0
s10813,51,7007,302,302.0
s33535,52,3490,417,417.0
s46122,53,3975,334,334.0
s3080,54,4715,496,496.0
s35597,55,5376,224,224.0
s69277,56,9631,63,63.0
s51909,57,5317,309,309.0
s7335,58,2851,344,344.0
s1148,59,2840,209,209.0
s29514,60,1531,420,420.0
s17838,61,8216,457,457.0
s10153,62,7240,376,376.0
s63038,63,4641,186,186.0
s12952,64,2481,403,403.0
s66090,65,5076,437,437.0
s25679,66,4244,218,218.0
s23184,67,5780,350,350.0
s36817,68,2008,56,56.0
s6625,69,3253,211,211.0
s27439,70,8867,311,311.0
s11720,71,7259,177,177.0
s55456,72,1143,241,241.0
s40814,73,979,248,248.0
s19999,74,2436,272,272.0
s10622,75,6806,244,244.0
s31610,76,3429,319,319.0
s3971,77,2564,417,417.0
s22677,78,6451,111,111.0
s34151,79,1966,287,287.0
s11517,80,2226,417,417.0
s44443,81,2369,83,83.0
s66274,82,8221,333,333.0
s10972,83,6339,380,380.0
s52262,84,4096,109,109.0
s1817,85,1922,169,169.0
s14126,86,886,83,83.0
s48575,87,2004,120,120.0
s38746,88,7212,75,75.0
s67565,89,3176,143,143.0
s47312,90,2975,68,68.0
s47219,91,6624,153,153.0
s52521,92,8918,497,497.0
s40578,93,7578,429,429.0
s34427,94,3681,299,299.0
s26299,95,2399,77,77.0
s30322,96,5869,262,262.0
s31903,97,4978,396,396.0
s59688,98,8264,232,232.0
s38618,99,9788,141,141.0
s50930,100,3326,418,418.0
s61981,101,1701,363,363.0
s59629,102,7053,86,86.0
s26736,103,250,377,377.0
s19684,104,7640,264,264.0
s43085,105,9104,57,57.0
s33766,106,1585,121,121.0
s481,107,3195,222,222.0
s27988,108,5795,359,359.0
s48158,109,2916,264,264.0
s21694,110,660,211,211.0
s19431,111,1682,107,107.0
s64651,112,3777,294,294.0
s7069,113,3915,83,83.0
s36205,114,7749,274,274.0
s30945,115,720,84,84.0
s67575,116,5257,287,287.0
s62736,117,7969,466,466.0
s44236,118,2266,376,376.0
s53323,119,8938,425,425.0
s7228,120,2937,292,292.0
s7975,121,2540,100,100.0
s67343,122,380,424,424.0
s13544,123,5132,491,491.0
s17285,124,9511,136,136.0
s57989,125,1045,322,322.0
s11489,126,8724,269,269.0
s48760,127,1272,224,224.0
s18923,128,5404,466,466.0
s58641,129,1574,280,280.0
s65072,130,1356,401,401.0
s57443,131,8121,417,417.0
s49361,132,7348,113,113.0
s64311,133,8302,93,93.0
s35572,134,7149,205,205.0
s24053,135,4045,222,222.0
s4443,136,9279,335,335.0
s41518,137,9824,100,100.0
s37398,138,1952,302,302.0
s59333,139,5347,374,374.0
s65350,140,8534,73,73.0
s23666,141,3078,450,450.0
s34748,142,7524,207,207.0
s21222,143,4395,258,258.0
s52562,144,9076,327,327.0
s69557,145,2545,69,69.0
s3344,146,5437,347,347.0
s65068,147,1108,304,304.0
s3384,148,9235,473,473.0
s1377,149,3476,411,411.0
s34779,150,2933,373,373.0
s64225,151,9441,349,349.0
s23548,152,4916,167,167.0
s29801,153,4638,367,367.0
s54774,154,7034,415,415.0
s23262,155,5659,86,86.0
s2250,156,5546,321,321.0
s23980,157,3169,156,156.0
s23893,158,7495,121,121.0
s44438,159,7321,105,105.0
s40268,160,3597,137,137.0
s37204,161,7300,456,456.0
s3062,162,1591,180,180.0
s47705,163,7311,279,279.0
s63387,164,8720,431,431.0
s45508,165,7770,290,290.0
s15042,166,2036,79,79.0
s45500,167,4050,288,288.0
s13324,168,5343,397,397.0
s17494,169,1263,383,383.0
s22012,170,6970,435,435.0
s64640,171,7195,500,500.0
s31515,172,1755,341,341.0
s69949,173,3899,451,451.0
s49160,174,9261,471,471.0
s69765,175,928,282,282.0
s13538,176,9104,171,171.0
s59889,177,7193,182,182.0
s18949,178,6994,377,377.0
s52747,179,1715,140,140.0
s1800,180,9304,84,84.0
s32110,181,8026,310,310.0
s31052,182,5278,339,339.0
s21225,183,7479,230,230.0
s51658,184,4257,422,422.0
s11273,185,3437,184,184.0
s30823,186,8459,402,402.0
s31212,187,178,367,367.0
s45574,188,2580,463,463.0
s26493,189,9588,90,90.0
s8835,190,9305,258,258.0
s54902,191,4618,235,235.0
s51627,192,6972,233,233.0
s32910,193,4742,122,122.0
s51022,194,5482,122,122.0
s43709,195,6907,306,306.0
s63845,196,3017,485,485.0
s17209,197,147,127,127.0
s54689,198,1661,334,334.0
s60123,199,7166,172,172.0
s27299,200,598,344,344.0
s29287,201,9690,417,417.0
s4505,202,566,254,254.0
s17291,203,5991,404,404.0
s28432,204,7965,245,245.0
s41141,205,2569,386,386.0
s33851,206,2724,181,181.0
s7259,207,3495,82,82.0
s56768,208,5058,286,286.0
s23664,209,6387,273,273.0
s48459,210,8253,55,55.0
s60120,211,6641,223,223.0
s30835,212,9692,295,295.0
s20402,213,5820,330,330.0
s44939,214,3983,226,226.0
s2749,215,8587,272,272.0
s14793,216,8147,296,296.0
s32852,217,2838,491,491.0
s11185,218,9767,304,304.0
s44013,219,4158,473,473.0
s21783,220,211,351,351.0
s53125,221,6824,198,198.0
s3463,222,4653,368,368.0
s62984,223,1886,286,286.0
s6994,224,1988,179,179.0
s7714,225,6415,435,435.0
s24547,226,1260,314,314.0
s58012,227,5365,191,191.0
s22775,228,1068,402,402.0
s22928,229,5540,480,480.0
s56544,230,4949,272,272.0
s58245,231,9717,99,99.0
s51901,232,1478,422,422.0
s66647,233,8655,327,327.0
s12271,234,3794,396,396.0
s12364,235,2747,381,381.0
s67146,236,3994,397,397.0
s61068,237,7684,219,219.0
s51969,238,4276,442,442.0
s42720,239,4958,319,319.0
s15978,240,4707,75,75.0
s48900,241,5308,316,316.0
s43958,242,6792,214,214.0
s34403,243,5993,380,380.0
s65345,244,8163,451,451.0
s44999,245,6209,160,160.0
s21187,246,2952,300,300.0
s66720,247,2156,213,213.0
s6792,248,9172,302,302.0
s37716,249,9442,234,234.0
s25191,250,7905,484,484.0
s38566,251,2596,63,63.0
s56484,252,4635,234,234.0
s64049,253,2733,123,123.0
s17014,254,2737,291,291.0
s58539,255,7653,435,435.0
s3781,256,4453,308,308.0
s62186,257,7751,212,212.0
s14812,258,9431,306,306.0
s35716,259,4594,205,205.0
s58648,260,2735,471,471.0
s46907,261,6943,257,257.0
s42866,262,4639,448,448.0
s46484,263,2710,217,217.0
s57881,264,2298,109,109.0
s30129,265,4563,233,233.0
s64398,266,4623,83,83.0
s3409,267,3541,476,476.0
s6731,268,9440,440,440.0
s29469,269,4505,336,336.0
s13960,270,9497,247,247.0
s54979,271,8687,306,306.0
s31617,272,2557,366,366.0
s38980,273,4961,171,171.0
s5257,274,6802,99,99.0
s57594,275,878,272,272.0
s15468,276,4189,289,289.0
s53989,277,5303,390,390.0
s35663,278,8530,301,301.0
s51020,279,3725,425,425.0
s47860,280,9039,249,249.0
s1009,281,3696,326,326.0
s54843,282,2479,236,236.0
s45391,283,9220,423,423.0
s41503,284,3169,245,245.0
