stocksymbol,weighted_avg_price
s1,416.0
s10,393.93781855249745
s100,465.0
s1000,357.0
s10000,346.0
s10001,386.0
s10002,303.0
s10003,464.0
s10004,182.0
s10005,442.0
s10006,60.0
s10007,98.0
s10008,71.0
s10009,399.0
s1001,492.0
s10010,143.0
s10011,308.0
s10012,177.0
s10013,290.0
s10014,429.0
s10015,59.0
s10016,273.88953287197234
s10017,207.0
s10018,448.0
s10019,106.6664343786295
s1002,409.80842105263156
s10020,337.57023000144653
s10021,81.0
s10022,105.76238256294626
s10023,436.0
s10024,395.0
s10025,307.0
s10026,237.0
s10027,175.0
s10028,205.61529476432597
s10029,441.0
s1003,137.67596390484005
s10030,459.0
s10031,207.0
s10032,459.6963417753901
s10033,370.22826833877343
s10034,114.0
s10035,229.11144487834184
s10036,336.3668092255995
s10037,51.0
s10038,190.0
s10039,323.0
s1004,306.0
s10040,489.0
s10041,92.0
s10042,496.0
s10043,293.0
s10044,228.0
s10045,226.0
s10046,284.95050372317127
s10047,180.0
s10048,64.0
s10049,110.0
s1005,113.95974743488556
s10050,209.0
s10051,197.0512947713067
s10052,283.0
s10053,102.0
s10054,497.0
s10055,99.0
s10056,483.04297960390187
s10057,194.0
s10058,66.0
s10059,325.0
s1006,144.53085807411605
s10060,258.0
s10061,159.0
s10062,167.0
s10063,101.6848684781665
s10064,187.0
s10065,132.0
s10066,232.0
s10067,103.0
s10068,282.0
s10069,297.0
s1007,130.0
s10070,121.0
s10071,100.0
s10072,460.0
s10073,64.0
s10074,179.0
s10075,379.0
s10076,276.0
s10077,462.1302624126864
s10078,203.0
s10079,246.0
s1008,62.0
s10080,239.0
s10081,437.0964659213848
s10082,123.46193001060445
s10083,435.0
s10084,332.93451156034376
s10085,104.0
s10086,300.59505933640105
s10087,412.0
s10088,289.0
s10089,218.47258818529536
s1009,328.8233215547703
s10090,76.0
s10091,72.0
s10092,257.0
s10093,294.0
s10094,310.3992365817559
s10095,63.0
s10096,240.0
s10097,466.8325974981604
s10098,277.0
s10099,400.0
s101,186.0
s1010,122.0
s10100,204.56400637719216
s10101,462.0
s10102,72.0
s10103,162.0
s10104,208.0
s10105,91.0
s10106,409.0
s10107,100.47641950567802
s10108,123.0
s10109,214.0
s1011,403.0
s10110,344.0
s10111,292.0
s10112,454.0
s10113,245.0
s10114,373.0
s10115,463.0
s10116,353.9892201448543
s10117,53.25100085787818
s10118,208.39401452868762
s10119,73.2071073748567
s1012,387.0916830902641
s10120,425.0
s10121,244.6541684665227
s10122,365.0
s10123,456.0
s10124,287.90775897647546
s10125,464.1501083255958
s10126,327.73505739543475
s10127,198.0
s10128,177.0
s10129,163.0
s1013,265.5210816915548
s10130,433.0
s10131,295.0
s10132,87.0
s10133,141.0
s10134,396.0
s10135,397.0
s10136,391.0
s10137,95.0
s10138,214.0
s10139,140.0
s1014,391.0
s10140,397.0
s10141,73.0
s10142,99.0
s10143,392.0
s10144,425.0
s10145,464.0
s10146,226.23224444852266
s10147,132.0
s10148,305.87823788546257
s10149,490.0
s1015,183.0
s10150,377.0
s10151,378.5447971410553
s10152,109.18664989385958
s10153,379.36380384719587
s10154,428.19204106119184
s10155,51.85151389464952
s10156,226.0
s10157,111.0
s10158,395.0
s10159,454.0
s1016,372.0
s10160,190.0
s10161,466.0
s10162,477.0
s10163,447.0
s10164,279.0
s10165,266.02002010386997
s10166,191.48348436129785
s10167,350.0
s10168,330.15281080566916
s10169,92.0
s1017,137.0
s10170,213.0
s10171,177.0
s10172,147.0
s10173,215.0
s10174,497.0
s10175,82.0
s10176,71.0
s10177,478.64956132334123
s10178,445.0
s10179,287.0
s1018,170.0
s10180,203.1399144351133
s10181,256.73246508708615
s10182,482.0
s10183,326.0
s10184,103.0
s10185,497.0
s10186,96.0
s10187,397.42681069104003
s10188,418.1320127134304
s10189,493.0
s1019,260.0
s10190,240.0
s10191,103.0
s10192,416.81300070986714
s10193,90.88131054579821
s10194,256.0
s10195,346.0
s10196,267.0
s10197,439.0
s10198,229.0
s10199,122.0
s102,107.01200394650296
s1020,431.0
s10200,406.0
s10201,472.0
s10202,205.20215897939156
s10203,430.0
s10204,408.0
s10205,274.0
s10206,212.0
s10207,181.0
s10208,496.0
s10209,314.0
s1021,364.0
s10210,469.1554310862172
s10211,71.0
s10212,315.65137352545
s10213,104.91114253393665
s10214,122.0
s10215,166.0
s10216,479.0
s10217,438.0
s10218,54.0
s10219,401.0
s1022,95.0
