stock_name,average_price
Stock_56387,480.0000000000000000
Stock_66709,113.0000000000000000
Stock_38048,293.0000000000000000
Stock_62754,247.5000000000000000
Stock_26174,97.0000000000000000
Stock_33926,388.0000000000000000
Stock_3777,100.0000000000000000
Stock_6466,457.0000000000000000
Stock_66424,258.0000000000000000
Stock_69641,129.0000000000000000
Stock_61874,460.0000000000000000
Stock_56645,341.0000000000000000
Stock_67442,330.0000000000000000
Stock_23462,80.5000000000000000
Stock_63889,73.0000000000000000
Stock_16460,253.0000000000000000
Stock_42511,470.5000000000000000
Stock_7886,406.0000000000000000
Stock_4898,297.0000000000000000
Stock_46452,434.0000000000000000
Stock_730,93.0000000000000000
Stock_68114,267.0000000000000000
Stock_48713,116.0000000000000000
Stock_20587,287.0000000000000000
Stock_27266,300.0000000000000000
Stock_55318,302.0000000000000000
Stock_34239,369.0000000000000000
Stock_61340,88.0000000000000000
Stock_22569,175.0000000000000000
Stock_15510,321.0000000000000000
Stock_59580,90.0000000000000000
Stock_40288,285.0000000000000000
Stock_55794,377.0000000000000000
Stock_61890,102.0000000000000000
Stock_4308,233.0000000000000000
Stock_12276,109.0000000000000000
Stock_63170,225.0000000000000000
Stock_33717,496.0000000000000000
Stock_69508,267.5000000000000000
Stock_47177,159.0000000000000000
Stock_69450,257.0000000000000000
Stock_46933,152.0000000000000000
Stock_69119,420.0000000000000000
Stock_28945,440.0000000000000000
Stock_7354,295.0000000000000000
Stock_37695,176.0000000000000000
Stock_41411,243.0000000000000000
Stock_7834,335.0000000000000000
Stock_68020,131.0000000000000000
Stock_20294,300.0000000000000000
Stock_52392,498.0000000000000000
Stock_47520,204.0000000000000000
Stock_1193,444.0000000000000000
Stock_66949,179.0000000000000000
Stock_60895,423.0000000000000000
Stock_61154,389.5000000000000000
Stock_25530,467.0000000000000000
Stock_13544,493.0000000000000000
Stock_18878,361.0000000000000000
Stock_27862,488.0000000000000000
Stock_1068,371.0000000000000000
Stock_44045,134.0000000000000000
Stock_52506,116.0000000000000000
Stock_12878,173.0000000000000000
Stock_44813,95.0000000000000000
Stock_53242,106.0000000000000000
Stock_3501,427.0000000000000000
Stock_28364,381.5000000000000000
Stock_15835,267.0000000000000000
Stock_56388,500.0000000000000000
Stock_5076,221.0000000000000000
Stock_69839,404.0000000000000000
Stock_25010,422.0000000000000000
Stock_58836,165.0000000000000000
Stock_63350,124.0000000000000000
Stock_65879,221.0000000000000000
Stock_29406,335.0000000000000000
Stock_31855,482.5000000000000000
Stock_54442,327.3333333333333333
Stock_46071,432.0000000000000000
Stock_63402,332.0000000000000000
Stock_14890,287.0000000000000000
Stock_30995,402.0000000000000000
Stock_7258,492.0000000000000000
Stock_20570,191.0000000000000000
Stock_51855,369.0000000000000000
Stock_22653,328.0000000000000000
Stock_25885,108.0000000000000000
Stock_57563,469.0000000000000000
Stock_44881,265.0000000000000000
Stock_11104,115.0000000000000000
Stock_3899,230.0000000000000000
Stock_34311,90.0000000000000000
Stock_63294,73.0000000000000000
Stock_63458,59.0000000000000000
Stock_63008,119.0000000000000000
Stock_56732,126.0000000000000000
Stock_37057,217.0000000000000000
Stock_15604,50.0000000000000000
Stock_12008,339.0000000000000000
Stock_47656,399.0000000000000000
Stock_43873,89.0000000000000000
Stock_69989,389.0000000000000000
Stock_60038,120.0000000000000000
Stock_18638,101.0000000000000000
Stock_10242,465.0000000000000000
Stock_61859,231.0000000000000000
Stock_28885,337.0000000000000000
Stock_13217,408.0000000000000000
Stock_28808,450.0000000000000000
Stock_3410,295.0000000000000000
Stock_20374,55.0000000000000000
Stock_21704,437.0000000000000000
Stock_60492,205.0000000000000000
Stock_35648,210.0000000000000000
Stock_16891,310.0000000000000000
Stock_47646,326.0000000000000000
Stock_20254,393.0000000000000000
Stock_47965,202.0000000000000000
Stock_17300,153.0000000000000000
Stock_52779,155.0000000000000000
Stock_62535,239.0000000000000000
Stock_46635,191.0000000000000000
Stock_28160,389.0000000000000000
Stock_924,220.0000000000000000
Stock_33594,347.0000000000000000
Stock_29662,428.0000000000000000
Stock_60172,185.5000000000000000
Stock_33562,384.0000000000000000
Stock_49895,279.0000000000000000
Stock_49134,81.0000000000000000
Stock_23917,420.0000000000000000
Stock_47632,56.0000000000000000
Stock_28468,473.0000000000000000
Stock_61844,63.0000000000000000
Stock_17148,77.0000000000000000
Stock_2653,74.0000000000000000
Stock_46180,181.0000000000000000
Stock_55273,407.0000000000000000
Stock_25676,329.0000000000000000
Stock_43418,428.0000000000000000
Stock_42708,183.0000000000000000
Stock_58334,482.0000000000000000
Stock_51508,163.0000000000000000
Stock_57060,292.0000000000000000
Stock_33221,405.0000000000000000
Stock_34872,205.0000000000000000
Stock_49396,233.0000000000000000
Stock_43679,280.0000000000000000
Stock_54749,366.0000000000000000
Stock_38868,498.0000000000000000
Stock_28512,207.0000000000000000
Stock_61032,76.0000000000000000
Stock_21586,68.0000000000000000
Stock_6435,461.0000000000000000
Stock_65065,81.0000000000000000
Stock_64444,295.0000000000000000
Stock_44217,442.0000000000000000
Stock_2855,487.0000000000000000
Stock_4782,315.0000000000000000
Stock_42134,140.0000000000000000
Stock_67873,175.0000000000000000
Stock_26802,80.0000000000000000
Stock_16713,496.0000000000000000
Stock_35728,244.0000000000000000
Stock_42320,304.0000000000000000
Stock_32955,477.0000000000000000
Stock_5288,471.0000000000000000
Stock_69975,396.0000000000000000
Stock_13735,82.0000000000000000
Stock_36417,141.0000000000000000
Stock_17438,388.0000000000000000
Stock_20440,173.0000000000000000
Stock_45468,450.0000000000000000
Stock_52496,97.0000000000000000
Stock_52222,395.0000000000000000
Stock_5265,114.0000000000000000
Stock_43373,253.0000000000000000
Stock_18365,235.0000000000000000
Stock_62792,250.0000000000000000
Stock_11222,122.0000000000000000
Stock_58365,170.0000000000000000
Stock_20094,228.0000000000000000
Stock_67927,264.0000000000000000
Stock_40807,83.0000000000000000
Stock_44823,200.0000000000000000
Stock_40249,81.0000000000000000
Stock_32483,397.0000000000000000
Stock_37596,493.0000000000000000
Stock_49331,178.0000000000000000
Stock_45540,345.5000000000000000
Stock_62131,99.0000000000000000
Stock_27300,309.0000000000000000
Stock_2998,264.0000000000000000
Stock_59750,101.0000000000000000
Stock_51756,200.0000000000000000
Stock_4157,302.0000000000000000
Stock_60355,282.0000000000000000
Stock_60888,118.0000000000000000
Stock_1993,135.0000000000000000
Stock_27841,69.0000000000000000
Stock_29934,334.0000000000000000
Stock_14785,462.0000000000000000
Stock_26488,95.0000000000000000
Stock_50749,108.0000000000000000
Stock_48770,342.0000000000000000
Stock_27017,288.0000000000000000
Stock_61078,60.0000000000000000
Stock_49833,171.0000000000000000
Stock_24511,239.0000000000000000
Stock_32501,392.0000000000000000
Stock_14987,351.5000000000000000
Stock_28086,245.0000000000000000
Stock_39991,99.0000000000000000
Stock_46368,113.0000000000000000
Stock_43586,407.0000000000000000
Stock_17752,247.0000000000000000
Stock_42006,105.0000000000000000
Stock_66931,131.0000000000000000
Stock_24908,474.0000000000000000
Stock_9237,451.0000000000000000
Stock_30708,332.0000000000000000
Stock_1397,244.0000000000000000
Stock_59684,338.0000000000000000
Stock_19720,495.0000000000000000
Stock_65440,375.0000000000000000
Stock_9673,366.0000000000000000
Stock_3278,183.0000000000000000
Stock_22154,489.0000000000000000
Stock_40342,270.0000000000000000
Stock_43152,63.0000000000000000
Stock_3734,93.0000000000000000
Stock_5958,123.0000000000000000
Stock_39195,126.0000000000000000
Stock_2907,205.0000000000000000
Stock_42781,292.0000000000000000
Stock_50353,407.5000000000000000
Stock_64280,366.0000000000000000
Stock_6955,392.0000000000000000
Stock_22312,116.0000000000000000
Stock_38230,394.0000000000000000
Stock_18175,448.0000000000000000
Stock_5358,104.0000000000000000
Stock_69393,120.0000000000000000
Stock_63635,261.0000000000000000
Stock_15759,198.0000000000000000
Stock_58990,458.0000000000000000
Stock_65111,346.5000000000000000
Stock_62668,372.0000000000000000
Stock_8875,480.0000000000000000
Stock_45360,380.0000000000000000
Stock_46005,411.0000000000000000
Stock_12184,442.0000000000000000
Stock_53369,390.0000000000000000
Stock_39856,264.0000000000000000
Stock_61338,385.0000000000000000
Stock_2566,289.0000000000000000
Stock_23533,385.5000000000000000
Stock_24812,60.0000000000000000
Stock_23783,224.0000000000000000
Stock_32056,198.0000000000000000
Stock_39639,219.0000000000000000
Stock_3320,221.0000000000000000
Stock_15492,186.0000000000000000
Stock_1609,371.0000000000000000
Stock_24602,227.0000000000000000
Stock_42595,231.0000000000000000
Stock_38275,97.0000000000000000
Stock_65636,367.0000000000000000
Stock_37167,176.0000000000000000
Stock_46754,457.0000000000000000
Stock_69043,404.0000000000000000
Stock_35609,347.5000000000000000
Stock_29957,150.0000000000000000
Stock_46109,208.5000000000000000
Stock_59971,488.0000000000000000
Stock_49039,307.0000000000000000
Stock_40152,312.0000000000000000
Stock_28720,447.0000000000000000
Stock_52863,250.0000000000000000
Stock_38797,450.0000000000000000
Stock_66721,355.0000000000000000
Stock_36078,126.0000000000000000
Stock_57718,186.0000000000000000
Stock_38499,418.0000000000000000
Stock_22859,377.0000000000000000
Stock_34112,215.0000000000000000
Stock_32075,473.0000000000000000
Stock_31064,382.0000000000000000
Stock_26965,160.0000000000000000
Stock_54520,353.0000000000000000
Stock_42977,137.0000000000000000
Stock_60661,223.0000000000000000
Stock_30753,191.0000000000000000
Stock_9692,338.0000000000000000
Stock_36587,365.0000000000000000
Stock_43467,247.0000000000000000
Stock_36070,454.0000000000000000
Stock_25982,73.5000000000000000
Stock_7148,346.0000000000000000
Stock_24831,99.0000000000000000
Stock_52616,414.0000000000000000
Stock_57530,353.0000000000000000
Stock_20014,195.0000000000000000
Stock_5106,315.0000000000000000
Stock_19114,477.0000000000000000
Stock_46995,354.0000000000000000
Stock_33983,289.0000000000000000
Stock_28097,472.0000000000000000
Stock_54969,56.0000000000000000
Stock_2388,383.0000000000000000
Stock_20407,96.0000000000000000
Stock_12183,403.0000000000000000
Stock_65359,408.0000000000000000
Stock_19893,245.0000000000000000
Stock_46378,119.0000000000000000
Stock_9614,329.0000000000000000
Stock_18698,479.0000000000000000
Stock_64350,425.0000000000000000
Stock_55728,393.0000000000000000
Stock_51062,152.0000000000000000
Stock_68517,159.5000000000000000
Stock_55603,486.0000000000000000
Stock_41874,308.0000000000000000
Stock_68946,389.0000000000000000
Stock_33507,100.0000000000000000
Stock_18369,309.0000000000000000
Stock_45654,67.0000000000000000
Stock_60349,189.0000000000000000
Stock_9748,204.0000000000000000
Stock_15833,194.0000000000000000
Stock_32524,367.0000000000000000
Stock_17062,125.0000000000000000
Stock_56785,85.0000000000000000
Stock_49991,488.0000000000000000
Stock_35191,479.0000000000000000
Stock_21613,471.0000000000000000
Stock_11709,383.0000000000000000
Stock_20943,135.0000000000000000
Stock_52486,354.0000000000000000
Stock_35691,78.0000000000000000
Stock_5316,283.0000000000000000
Stock_12868,77.0000000000000000
Stock_57182,461.0000000000000000
Stock_31521,161.0000000000000000
Stock_39510,156.0000000000000000
Stock_47878,363.0000000000000000
Stock_42236,457.0000000000000000
Stock_36037,493.0000000000000000
Stock_68666,146.0000000000000000
Stock_20373,330.0000000000000000
Stock_33608,382.0000000000000000
Stock_6386,357.0000000000000000
Stock_31752,175.0000000000000000
Stock_64082,118.5000000000000000
Stock_33756,328.5000000000000000
Stock_520,192.0000000000000000
Stock_46008,68.0000000000000000
Stock_13306,81.0000000000000000
Stock_17849,98.0000000000000000
Stock_21481,282.0000000000000000
Stock_12790,122.0000000000000000
Stock_25063,344.0000000000000000
Stock_31277,429.5000000000000000
Stock_52174,208.0000000000000000
Stock_28340,258.0000000000000000
Stock_28184,202.0000000000000000
Stock_69151,93.5000000000000000
Stock_50816,465.0000000000000000
Stock_27634,489.0000000000000000
Stock_18505,415.0000000000000000
Stock_35437,301.0000000000000000
Stock_36154,251.0000000000000000
Stock_20450,301.0000000000000000
Stock_13723,383.0000000000000000
Stock_29566,267.0000000000000000
Stock_58714,240.0000000000000000
Stock_7447,445.0000000000000000
Stock_19170,333.0000000000000000
Stock_49111,181.0000000000000000
Stock_9997,221.0000000000000000
Stock_57507,222.0000000000000000
Stock_58696,262.0000000000000000
Stock_45804,406.0000000000000000
Stock_881,368.0000000000000000
Stock_59702,169.0000000000000000
Stock_8525,251.0000000000000000
Stock_51319,128.0000000000000000
Stock_11524,86.0000000000000000
Stock_40032,467.0000000000000000
Stock_28127,408.0000000000000000
Stock_62452,425.0000000000000000
Stock_43224,195.0000000000000000
Stock_48993,470.0000000000000000
Stock_63316,426.5000000000000000
Stock_24942,175.0000000000000000
Stock_52542,165.0000000000000000
Stock_41558,115.0000000000000000
Stock_44210,204.0000000000000000
Stock_12141,95.0000000000000000
Stock_23591,333.0000000000000000
Stock_11818,264.0000000000000000
Stock_61455,275.0000000000000000
Stock_62809,498.0000000000000000
Stock_8470,437.0000000000000000
Stock_387,452.0000000000000000
Stock_41434,302.0000000000000000
Stock_32656,426.0000000000000000
Stock_3428,402.0000000000000000
Stock_30456,469.0000000000000000
Stock_12922,165.0000000000000000
Stock_21884,339.0000000000000000
Stock_40994,96.0000000000000000
Stock_68087,315.0000000000000000
Stock_14369,138.0000000000000000
Stock_60329,398.0000000000000000
Stock_3266,250.0000000000000000
Stock_50138,135.0000000000000000
Stock_58504,295.0000000000000000
Stock_13865,293.0000000000000000
Stock_62570,354.0000000000000000
Stock_49317,190.0000000000000000
Stock_45275,61.0000000000000000
Stock_863,243.0000000000000000
Stock_26071,155.0000000000000000
Stock_38682,409.5000000000000000
Stock_38093,469.0000000000000000
Stock_35174,162.0000000000000000
Stock_52196,464.0000000000000000
Stock_37024,284.0000000000000000
Stock_69493,498.0000000000000000
Stock_56811,500.0000000000000000
Stock_7323,287.0000000000000000
Stock_20421,446.0000000000000000
Stock_9144,463.0000000000000000
Stock_23607,281.0000000000000000
Stock_13605,194.0000000000000000
Stock_40186,203.0000000000000000
Stock_37700,111.0000000000000000
Stock_16976,269.0000000000000000
Stock_19591,87.0000000000000000
Stock_55769,276.0000000000000000
Stock_6429,107.0000000000000000
Stock_8086,186.0000000000000000
Stock_51569,101.0000000000000000
Stock_63932,277.0000000000000000
Stock_58090,101.6666666666666667
Stock_44298,217.5000000000000000
Stock_22696,417.0000000000000000
Stock_67006,243.0000000000000000
Stock_46653,148.0000000000000000
Stock_46456,140.0000000000000000
Stock_20807,170.0000000000000000
Stock_42624,237.0000000000000000
Stock_61877,432.0000000000000000
Stock_8651,53.0000000000000000
Stock_61580,110.0000000000000000
Stock_49183,127.0000000000000000
Stock_51677,260.0000000000000000
Stock_27815,61.0000000000000000
Stock_14898,124.0000000000000000
Stock_62917,297.0000000000000000
Stock_26261,340.0000000000000000
Stock_47492,366.0000000000000000
Stock_46198,397.0000000000000000
Stock_9332,286.0000000000000000
Stock_9459,272.0000000000000000
Stock_19811,196.0000000000000000
Stock_37460,498.0000000000000000
Stock_38090,76.0000000000000000
Stock_28677,86.0000000000000000
Stock_20998,328.0000000000000000
Stock_16714,61.0000000000000000
Stock_11814,160.0000000000000000
Stock_41539,79.0000000000000000
Stock_53744,489.0000000000000000
Stock_36142,418.0000000000000000
Stock_54055,461.0000000000000000
Stock_4694,273.0000000000000000
Stock_24822,249.0000000000000000
Stock_64446,500.0000000000000000
Stock_39174,345.0000000000000000
Stock_43899,284.0000000000000000
Stock_50280,210.0000000000000000
Stock_38904,327.0000000000000000
Stock_3850,79.0000000000000000
