stocksymbol,stock_name,avg
s2892,Stock_2892,285.5000000000000000
s23960,Stock_23960,82.5000000000000000
s27303,Stock_27303,107.5000000000000000
s23116,Stock_23116,312.5000000000000000
s47297,Stock_47297,458.0000000000000000
s793,Stock_793,487.5000000000000000
s18644,Stock_18644,207.5000000000000000
s9224,Stock_9224,424.5000000000000000
s16916,Stock_16916,164.5000000000000000
s9765,Stock_9765,232.5000000000000000
s4169,Stock_4169,152.5000000000000000
s30738,Stock_30738,235.0000000000000000
s46202,Stock_46202,116.5000000000000000
s2557,Stock_2557,270.5000000000000000
s23271,Stock_23271,386.5000000000000000
s669,Stock_669,413.0000000000000000
s26361,Stock_26361,121.0000000000000000
s4078,Stock_4078,298.5000000000000000
s20936,Stock_20936,166.5000000000000000
s2486,Stock_2486,67.5000000000000000
s5310,Stock_5310,199.5000000000000000
s35991,Stock_35991,477.5000000000000000
s48132,Stock_48132,323.5000000000000000
s11513,Stock_11513,120.5000000000000000
s6039,Stock_6039,469.0000000000000000
s31885,Stock_31885,149.5000000000000000
s25065,Stock_25065,328.5000000000000000
s36785,Stock_36785,132.0000000000000000
s44434,Stock_44434,301.0000000000000000
s36792,Stock_36792,462.0000000000000000
s34097,Stock_34097,104.5000000000000000
s14545,Stock_14545,458.5000000000000000
s43110,Stock_43110,269.0000000000000000
s15625,Stock_15625,320.0000000000000000
s1410,Stock_1410,457.5000000000000000
s4312,Stock_4312,91.5000000000000000
s34312,Stock_34312,299.0000000000000000
s10580,Stock_10580,340.5000000000000000
s42622,Stock_42622,84.0000000000000000
s43588,Stock_43588,340.0000000000000000
s45952,Stock_45952,190.5000000000000000
s21473,Stock_21473,314.5000000000000000
s4534,Stock_4534,216.5000000000000000
s1244,Stock_1244,279.0000000000000000
s43806,Stock_43806,122.0000000000000000
s32490,Stock_32490,79.0000000000000000
s25075,Stock_25075,113.5000000000000000
s18960,Stock_18960,212.0000000000000000
s34848,Stock_34848,392.5000000000000000
s25068,Stock_25068,490.5000000000000000
s22163,Stock_22163,355.0000000000000000
s456,Stock_456,122.5000000000000000
s10453,Stock_10453,257.0000000000000000
s35295,Stock_35295,349.5000000000000000
s19651,Stock_19651,136.5000000000000000
s37771,Stock_37771,309.5000000000000000
s45331,Stock_45331,391.0000000000000000
s25125,Stock_25125,260.0000000000000000
s22237,Stock_22237,335.0000000000000000
s23311,Stock_23311,135.0000000000000000
s46530,Stock_46530,265.0000000000000000
s20290,Stock_20290,452.0000000000000000
s21513,Stock_21513,138.0000000000000000
s28660,Stock_28660,60.0000000000000000
s78,Stock_78,149.5000000000000000
s22829,Stock_22829,93.5000000000000000
s35907,Stock_35907,81.0000000000000000
s28902,Stock_28902,118.0000000000000000
s27393,Stock_27393,326.0000000000000000
s12188,Stock_12188,484.0000000000000000
s24253,Stock_24253,405.5000000000000000
s48504,Stock_48504,216.0000000000000000
s628,Stock_628,108.0000000000000000
s19330,Stock_19330,340.5000000000000000
s30239,Stock_30239,325.5000000000000000
s35137,Stock_35137,196.5000000000000000
s8685,Stock_8685,438.0000000000000000
s186,Stock_186,445.5000000000000000
s26186,Stock_26186,290.5000000000000000
s42575,Stock_42575,336.0000000000000000
s9466,Stock_9466,306.5000000000000000
s12571,Stock_12571,96.0000000000000000
s10826,Stock_10826,416.0000000000000000
s35816,Stock_35816,302.5000000000000000
s22735,Stock_22735,470.5000000000000000
s13135,Stock_13135,257.5000000000000000
s42307,Stock_42307,213.5000000000000000
s24595,Stock_24595,81.0000000000000000
s12715,Stock_12715,388.5000000000000000
s38635,Stock_38635,195.0000000000000000
s32627,Stock_32627,375.0000000000000000
s39045,Stock_39045,374.5000000000000000
s14870,Stock_14870,120.0000000000000000
s11198,Stock_11198,162.5000000000000000
s36078,Stock_36078,411.5000000000000000
s31394,Stock_31394,105.0000000000000000
s32374,Stock_32374,103.5000000000000000
s46889,Stock_46889,135.5000000000000000
s17559,Stock_17559,139.5000000000000000
s44612,Stock_44612,410.5000000000000000
s12620,Stock_12620,161.0000000000000000
s1428,Stock_1428,194.0000000000000000
s20873,Stock_20873,300.5000000000000000
s22986,Stock_22986,368.0000000000000000
s33772,Stock_33772,462.0000000000000000
s30189,Stock_30189,328.5000000000000000
s39395,Stock_39395,264.0000000000000000
s27248,Stock_27248,233.5000000000000000
s39732,Stock_39732,346.0000000000000000
s9500,Stock_9500,313.0000000000000000
s11181,Stock_11181,195.5000000000000000
s200,Stock_200,237.0000000000000000
s32593,Stock_32593,411.0000000000000000
s13219,Stock_13219,299.5000000000000000
s29112,Stock_29112,196.0000000000000000
s46452,Stock_46452,154.5000000000000000
s35212,Stock_35212,454.5000000000000000
s28236,Stock_28236,499.5000000000000000
s17357,Stock_17357,290.0000000000000000
s30281,Stock_30281,472.5000000000000000
s36295,Stock_36295,408.0000000000000000
s21404,Stock_21404,181.0000000000000000
s36784,Stock_36784,242.5000000000000000
s1975,Stock_1975,265.0000000000000000
s20426,Stock_20426,304.5000000000000000
s37948,Stock_37948,109.5000000000000000
s9715,Stock_9715,114.5000000000000000
s42015,Stock_42015,246.5000000000000000
s27656,Stock_27656,110.0000000000000000
s18316,Stock_18316,73.0000000000000000
s132,Stock_132,447.0000000000000000
s27254,Stock_27254,473.0000000000000000
s41414,Stock_41414,421.0000000000000000
s14610,Stock_14610,424.5000000000000000
s32684,Stock_32684,360.0000000000000000
s15676,Stock_15676,126.5000000000000000
s7857,Stock_7857,339.0000000000000000
s22560,Stock_22560,150.5000000000000000
s16125,Stock_16125,294.5000000000000000
s28796,Stock_28796,376.5000000000000000
s4634,Stock_4634,347.0000000000000000
s42130,Stock_42130,341.5000000000000000
s27221,Stock_27221,100.5000000000000000
s20374,Stock_20374,227.0000000000000000
s31690,Stock_31690,276.5000000000000000
s42955,Stock_42955,120.0000000000000000
s42682,Stock_42682,404.0000000000000000
s18527,Stock_18527,174.5000000000000000
s35486,Stock_35486,51.5000000000000000
s35641,Stock_35641,239.5000000000000000
s4721,Stock_4721,334.5000000000000000
s42231,Stock_42231,457.5000000000000000
s26702,Stock_26702,332.5000000000000000
s32271,Stock_32271,448.0000000000000000
s5960,Stock_5960,314.5000000000000000
s30410,Stock_30410,177.0000000000000000
s33747,Stock_33747,486.0000000000000000
s11034,Stock_11034,434.5000000000000000
s36896,Stock_36896,149.5000000000000000
s3673,Stock_3673,113.5000000000000000
s35225,Stock_35225,177.0000000000000000
s16695,Stock_16695,101.5000000000000000
s19110,Stock_19110,306.5000000000000000
s31768,Stock_31768,159.0000000000000000
s47913,Stock_47913,313.0000000000000000
s6522,Stock_6522,399.5000000000000000
s25141,Stock_25141,74.0000000000000000
s13490,Stock_13490,81.5000000000000000
s7165,Stock_7165,479.0000000000000000
s38843,Stock_38843,251.0000000000000000
s34448,Stock_34448,208.5000000000000000
s16934,Stock_16934,383.0000000000000000
s43898,Stock_43898,66.5000000000000000
s19825,Stock_19825,390.0000000000000000
s1918,Stock_1918,397.0000000000000000
s41330,Stock_41330,147.5000000000000000
