stock_name,average_price
Stock_1938,334.0000000000000000
Stock_2133,130.0000000000000000
Stock_30492,103.0000000000000000
Stock_22589,145.0000000000000000
Stock_18327,131.0000000000000000
Stock_2749,84.0000000000000000
Stock_4842,280.0000000000000000
Stock_27266,416.5000000000000000
Stock_39154,369.0000000000000000
Stock_35492,487.0000000000000000
Stock_4308,294.0000000000000000
Stock_38384,200.0000000000000000
Stock_14270,421.0000000000000000
Stock_5672,489.0000000000000000
Stock_14613,117.0000000000000000
Stock_37695,434.0000000000000000
Stock_7834,62.0000000000000000
Stock_20294,385.0000000000000000
Stock_17203,71.0000000000000000
Stock_21454,79.0000000000000000
Stock_17766,146.0000000000000000
Stock_25530,474.0000000000000000
Stock_30242,79.0000000000000000
Stock_17103,341.0000000000000000
Stock_3501,291.0000000000000000
Stock_21294,246.0000000000000000
Stock_31657,393.0000000000000000
Stock_14890,164.0000000000000000
Stock_25885,417.0000000000000000
Stock_22036,87.0000000000000000
Stock_26296,181.0000000000000000
Stock_11104,190.0000000000000000
Stock_34370,256.0000000000000000
Stock_15604,54.0000000000000000
Stock_6693,124.0000000000000000
Stock_22864,298.0000000000000000
Stock_11649,220.0000000000000000
Stock_28885,259.0000000000000000
Stock_8708,401.0000000000000000
Stock_35054,54.0000000000000000
Stock_35725,213.0000000000000000
Stock_17713,219.0000000000000000
Stock_2530,232.0000000000000000
Stock_20903,147.0000000000000000
Stock_39157,194.0000000000000000
Stock_4946,122.0000000000000000
Stock_20774,255.0000000000000000
Stock_29492,153.0000000000000000
Stock_16199,252.0000000000000000
Stock_12507,498.0000000000000000
Stock_161,451.0000000000000000
Stock_3451,288.0000000000000000
Stock_9519,450.0000000000000000
Stock_12130,212.0000000000000000
Stock_1995,256.0000000000000000
Stock_8404,384.0000000000000000
Stock_34872,148.0000000000000000
Stock_38868,159.0000000000000000
Stock_30788,418.0000000000000000
Stock_23896,361.0000000000000000
Stock_30247,143.0000000000000000
Stock_28145,467.0000000000000000
Stock_21586,423.5000000000000000
Stock_6343,391.0000000000000000
Stock_36050,440.0000000000000000
Stock_8459,353.0000000000000000
Stock_26235,446.0000000000000000
Stock_13428,165.0000000000000000
Stock_3290,390.0000000000000000
Stock_24809,263.0000000000000000
Stock_2855,363.5000000000000000
Stock_4521,271.0000000000000000
Stock_32910,492.0000000000000000
Stock_37313,464.0000000000000000
Stock_18792,448.0000000000000000
Stock_20881,411.0000000000000000
Stock_13735,396.0000000000000000
Stock_35921,185.0000000000000000
Stock_29073,91.0000000000000000
Stock_21893,442.0000000000000000
Stock_20266,485.0000000000000000
Stock_14506,80.0000000000000000
Stock_18365,500.0000000000000000
Stock_9940,238.0000000000000000
Stock_2883,268.0000000000000000
Stock_14702,98.0000000000000000
Stock_18136,395.0000000000000000
Stock_10564,108.0000000000000000
Stock_9407,170.0000000000000000
Stock_19162,418.0000000000000000
Stock_14197,326.0000000000000000
Stock_31606,136.0000000000000000
Stock_1993,60.0000000000000000
Stock_2089,207.0000000000000000
Stock_27537,67.0000000000000000
Stock_32501,458.5000000000000000
Stock_20563,263.0000000000000000
Stock_25890,329.0000000000000000
Stock_13549,176.0000000000000000
Stock_37947,81.0000000000000000
Stock_24908,240.0000000000000000
Stock_1423,225.0000000000000000
Stock_16872,361.0000000000000000
Stock_15146,266.0000000000000000
Stock_22154,334.5000000000000000
Stock_3278,411.0000000000000000
Stock_34003,325.0000000000000000
Stock_17298,319.0000000000000000
Stock_6955,415.0000000000000000
Stock_38955,441.0000000000000000
Stock_13003,299.0000000000000000
Stock_38230,124.0000000000000000
Stock_33881,484.0000000000000000
Stock_26744,271.0000000000000000
Stock_38028,206.0000000000000000
Stock_13180,239.0000000000000000
Stock_3718,316.0000000000000000
Stock_1639,126.0000000000000000
Stock_4287,248.0000000000000000
Stock_37167,63.0000000000000000
Stock_33034,382.0000000000000000
Stock_28836,129.0000000000000000
Stock_29957,407.0000000000000000
Stock_28909,96.0000000000000000
Stock_38797,147.0000000000000000
Stock_16924,224.0000000000000000
Stock_38499,450.0000000000000000
Stock_33979,198.0000000000000000
Stock_13012,85.0000000000000000
Stock_23637,101.0000000000000000
Stock_29699,371.0000000000000000
Stock_26944,60.0000000000000000
Stock_10621,257.0000000000000000
Stock_11286,404.0000000000000000
Stock_12417,235.0000000000000000
Stock_27637,459.0000000000000000
Stock_18721,466.0000000000000000
Stock_26242,437.0000000000000000
Stock_27808,115.0000000000000000
Stock_18369,430.0000000000000000
Stock_11085,366.0000000000000000
Stock_24070,296.0000000000000000
Stock_16329,405.0000000000000000
Stock_2547,298.0000000000000000
Stock_30783,282.0000000000000000
Stock_35691,83.0000000000000000
Stock_36037,85.0000000000000000
Stock_33608,119.0000000000000000
Stock_31752,457.0000000000000000
Stock_194,419.0000000000000000
Stock_13306,454.0000000000000000
Stock_29017,428.0000000000000000
Stock_20658,294.0000000000000000
Stock_13973,371.0000000000000000
Stock_3288,219.0000000000000000
Stock_28184,114.0000000000000000
Stock_24749,205.0000000000000000
Stock_36154,86.0000000000000000
Stock_12123,369.0000000000000000
Stock_21600,75.0000000000000000
Stock_17307,159.0000000000000000
Stock_7,355.5000000000000000
Stock_19541,340.0000000000000000
Stock_25791,476.0000000000000000
Stock_380,351.0000000000000000
Stock_37222,215.0000000000000000
Stock_12891,98.0000000000000000
Stock_30318,372.0000000000000000
Stock_38827,392.0000000000000000
Stock_29338,391.0000000000000000
Stock_870,346.0000000000000000
Stock_13518,135.0000000000000000
Stock_34339,321.0000000000000000
Stock_11818,243.0000000000000000
Stock_28895,131.0000000000000000
Stock_9352,254.0000000000000000
Stock_20825,107.0000000000000000
Stock_20318,317.0000000000000000
Stock_30749,435.0000000000000000
Stock_11860,85.0000000000000000
Stock_19094,128.0000000000000000
Stock_387,235.0000000000000000
Stock_30456,480.0000000000000000
Stock_3594,122.0000000000000000
Stock_33613,95.0000000000000000
Stock_863,472.0000000000000000
Stock_25183,254.0000000000000000
Stock_17225,142.0000000000000000
Stock_38167,357.0000000000000000
Stock_17635,287.5000000000000000
Stock_37902,68.0000000000000000
Stock_39165,111.0000000000000000
Stock_9144,356.5000000000000000
Stock_34196,90.0000000000000000
Stock_9049,453.0000000000000000
Stock_22696,188.0000000000000000
Stock_38569,425.0000000000000000
Stock_37369,325.5000000000000000
Stock_7799,407.5000000000000000
Stock_34744,381.0000000000000000
Stock_21482,410.0000000000000000
Stock_25625,342.0000000000000000
Stock_20230,236.0000000000000000
Stock_37971,433.0000000000000000
Stock_21005,484.0000000000000000
Stock_35252,88.0000000000000000
Stock_27224,194.0000000000000000
Stock_19901,322.0000000000000000
Stock_32797,315.0000000000000000
Stock_11166,307.5000000000000000
Stock_27405,186.0000000000000000
Stock_25894,68.0000000000000000
Stock_6073,167.0000000000000000
Stock_7593,308.0000000000000000
Stock_33343,143.0000000000000000
Stock_36537,168.0000000000000000
Stock_14256,322.0000000000000000
Stock_13381,210.0000000000000000
Stock_15377,219.0000000000000000
Stock_22498,74.0000000000000000
Stock_35953,138.0000000000000000
Stock_3991,499.0000000000000000
Stock_17591,382.0000000000000000
Stock_34081,52.0000000000000000
Stock_34294,353.0000000000000000
Stock_10945,289.0000000000000000
Stock_28502,447.0000000000000000
Stock_24455,205.0000000000000000
Stock_13953,282.0000000000000000
Stock_33144,431.0000000000000000
Stock_16350,194.0000000000000000
Stock_15250,199.0000000000000000
Stock_27615,182.0000000000000000
Stock_35184,81.0000000000000000
Stock_4503,431.0000000000000000
Stock_37756,499.0000000000000000
Stock_13699,157.0000000000000000
Stock_1576,485.0000000000000000
Stock_22830,384.0000000000000000
Stock_36635,332.5000000000000000
Stock_32973,152.0000000000000000
Stock_38101,490.5000000000000000
Stock_7187,183.0000000000000000
Stock_21479,275.0000000000000000
Stock_15450,173.0000000000000000
Stock_33016,96.0000000000000000
Stock_478,423.0000000000000000
Stock_36134,274.5000000000000000
Stock_20198,282.0000000000000000
Stock_36941,52.0000000000000000
Stock_35940,128.0000000000000000
Stock_31919,85.0000000000000000
Stock_3458,437.0000000000000000
Stock_19668,299.0000000000000000
Stock_36042,187.0000000000000000
Stock_26887,280.0000000000000000
Stock_20309,475.0000000000000000
Stock_25955,223.0000000000000000
Stock_24884,303.0000000000000000
Stock_11017,262.0000000000000000
Stock_10237,406.0000000000000000
Stock_19708,326.0000000000000000
Stock_11246,122.0000000000000000
Stock_22449,461.0000000000000000
Stock_1240,291.0000000000000000
Stock_9208,308.0000000000000000
Stock_29982,58.5000000000000000
Stock_23151,98.0000000000000000
Stock_8598,244.0000000000000000
Stock_14855,109.0000000000000000
Stock_2150,76.0000000000000000
Stock_32186,484.0000000000000000
Stock_113,402.0000000000000000
Stock_24758,125.0000000000000000
Stock_1364,327.0000000000000000
Stock_10557,161.0000000000000000
Stock_12374,431.0000000000000000
Stock_10352,212.0000000000000000
Stock_29415,273.0000000000000000
Stock_11004,214.0000000000000000
Stock_36340,474.0000000000000000
Stock_16130,102.0000000000000000
Stock_4262,193.0000000000000000
Stock_16241,433.0000000000000000
