stocksymbol,time,quantity,price,stock_name
s17675,1,7453,388,Stock_17675
s42796,2,638,278,Stock_42796
s27038,3,9555,173,Stock_27038
s23277,4,6915,340,Stock_23277
s2393,5,5989,133,Stock_2393
s37551,6,4560,123,Stock_37551
s18467,7,5093,485,Stock_18467
s28494,8,1652,417,Stock_28494
s10640,9,1790,176,Stock_10640
s35404,10,1930,255,Stock_35404
s56842,11,1196,374,Stock_56842
s17415,12,5906,491,Stock_17415
s2461,13,3094,357,Stock_2461
s25193,14,9066,177,Stock_25193
s13421,15,6444,135,Stock_13421
s23330,16,5691,429,Stock_23330
s69788,17,404,261,Stock_69788
s30778,18,7843,273,Stock_30778
s35865,19,5422,240,Stock_35865
s54710,20,961,154,Stock_54710
s26530,21,3977,194,Stock_26530
s3995,22,6764,394,Stock_3995
s67850,23,4262,316,Stock_67850
s66655,24,2022,334,Stock_66655
s1576,25,3483,411,Stock_1576
s11509,26,5261,119,Stock_11509
s17692,27,6518,377,Stock_17692
s33876,28,8234,420,Stock_33876
s50093,29,8680,443,Stock_50093
s24454,30,704,405,Stock_24454
s58670,31,239,127,Stock_58670
s60239,32,453,271,Stock_60239
s13080,33,180,120,Stock_13080
s15565,34,9672,58,Stock_15565
s8461,35,1634,215,Stock_8461
s35804,36,8906,391,Stock_35804
s61979,37,8751,128,Stock_61979
s59449,38,9642,455,Stock_59449
s54893,39,269,167,Stock_54893
s57582,40,8171,207,Stock_57582
s35294,41,9910,184,Stock_35294
s9704,42,948,397,Stock_9704
s55146,43,1087,335,Stock_55146
s64661,44,3023,97,Stock_64661
s51990,45,5814,103,Stock_51990
s5291,46,2871,453,Stock_5291
s33160,47,8245,124,Stock_33160
s61734,48,6141,122,Stock_61734
s37266,49,5806,171,Stock_37266
s13566,50,4837,380,Stock_13566
s10813,51,7007,302,Stock_10813
s33535,52,3490,417,Stock_33535
s46122,53,3975,334,Stock_46122
s3080,54,4715,496,Stock_3080
s35597,55,5376,224,Stock_35597
s69277,56,9631,63,Stock_69277
