stocksymbol,time,quantity,price
s3814,1,1519,464
s49184,2,3213,336
s30738,3,8834,235
s15675,4,9543,277
s3671,5,8963,285
s47105,6,1272,346
s38744,7,1581,177
s36889,8,3167,82
s25155,9,2026,299
s1327,10,1001,429
s29764,11,5431,347
s41961,12,4910,249
s29115,13,6266,351
s7297,14,6488,104
s17627,15,4335,393
s17643,16,7868,346
s15205,17,7572,392
s20054,18,9368,151
s15686,19,8454,347
s44688,20,2371,250
s36061,21,9863,186
s45190,22,8696,97
s8956,23,3803,391
s43017,24,4152,424
s8645,25,6225,115
s41228,26,9760,391
s28318,27,5919,427
s48200,28,4666,373
s34770,29,1044,373
s11400,30,580,228
s49,31,4858,219
s25303,32,3902,64
s39381,33,5165,118
s42981,34,1883,196
s7764,35,4046,469
s61,36,1499,402
s11630,37,6956,432
s27839,38,6813,228
s36994,39,1974,335
s31367,40,9825,350
s36902,41,4268,62
s17325,42,3347,253
s9506,43,4379,73
s13461,44,2385,346
s41385,45,8963,473
s41122,46,1577,271
s48927,47,8391,299
s9705,48,9249,376
s6053,49,3668,158
s46831,50,3157,244
s23269,51,2688,112
s14001,52,397,61
s18485,53,3788,393
s15836,54,8943,222
s21969,55,8427,364
s26822,56,4464,293
s18790,57,2222,339
s45993,58,2063,478
s19662,59,5537,239
s23433,60,1747,214
s16695,61,2938,103
s18764,62,9741,320
s7614,63,3297,258
s32531,64,2420,159
s12337,65,555,324
s6796,66,1418,442
s13693,67,7673,122
s17178,68,6622,58
s43456,69,7984,270
s47088,70,1553,114
s24970,71,4625,115
s11546,72,923,208
s44972,73,4329,88
s12623,74,5551,251
s18815,75,8987,401
s9557,76,2333,482
s28053,77,1081,458
s48636,78,7826,129
s40437,79,8028,397
s32353,80,9846,341
s2360,81,9421,200
s5143,82,9464,404
s34406,83,4656,489
s2983,84,1010,457
s35661,85,2072,415
s47149,86,8555,366
s27178,87,8642,345
s23550,88,2954,247
s49279,89,7048,142
s23012,90,9539,166
s6745,91,6346,280
s9949,92,4227,78
s3919,93,8403,385
s32002,94,6904,238
s33900,95,6813,425
s23397,96,734,65
s29905,97,2801,494
s26442,98,3030,348
s24559,99,5702,436
s44584,100,8140,62
s4976,101,3757,202
s44097,102,9774,148
s18878,103,5779,432
s12102,104,6243,158
s49971,105,4524,110
s22406,106,7882,249
s39021,107,1069,295
s26690,108,9915,402
s36898,109,8650,301
s24147,110,6544,293
s15790,111,9852,361
s301,112,4080,264
s26153,113,9148,442
s12627,114,2129,357
s31188,115,5968,145
s10819,116,825,350
s24394,117,8775,207
s42697,118,6264,407
s22051,119,4109,195
s49677,120,8160,277
s39970,121,7763,181
s40725,122,1818,227
s39050,123,5008,436
s33651,124,7132,497
s9253,125,3312,370
s43836,126,3670,204
s23068,127,4973,417
s14136,128,2114,363
s35536,129,692,94
s24318,130,2999,333
s4359,131,562,141
s37742,132,9596,83
s28759,133,5075,152
s21307,134,9525,182
s15315,135,2484,442
s22124,136,985,277
s33215,137,4337,306
s32784,138,1029,84
s46280,139,5598,234
s25755,140,9956,284
s36025,141,2818,79
s15111,142,5787,247
s39043,143,5251,119
s4961,144,2900,283
s21100,145,1388,359
s40379,146,2364,433
s35807,147,6971,372
s143,148,9092,59
s33570,149,7703,240
s22401,150,682,384
s38619,151,980,342
s8553,152,6440,284
s14382,153,169,312
s39981,154,3966,155
s5264,155,8630,320
s18222,156,8739,54
s42575,157,7125,338
s24867,158,7632,170
s26803,159,3348,321
s28140,160,2207,309
s14208,161,8013,310
s28542,162,1408,400
s39551,163,7347,127
s44146,164,3331,223
s470,165,3081,335
s27762,166,8914,104
s749,167,5928,488
s23095,168,1669,147
s364,169,7192,355
s21950,170,2877,308
s40189,171,8272,100
s48763,172,506,62
s40048,173,3040,157
s19536,174,9573,450
s37000,175,7819,488
s20380,176,7509,477
s48608,177,362,187
s3898,178,3721,84
s19793,179,3502,199
s483,180,5915,451
s48104,181,6178,82
s30135,182,6777,155
