stocksymbol,time,quantity,price,stock_name
s3814,1,1519,464,Stock_3814
s49184,2,3213,336,Stock_49184
s30738,3,8834,235,Stock_30738
s15675,4,9543,277,Stock_15675
s3671,5,8963,285,Stock_3671
s47105,6,1272,346,Stock_47105
s38744,7,1581,177,Stock_38744
s36889,8,3167,82,Stock_36889
s25155,9,2026,299,Stock_25155
s1327,10,1001,429,Stock_1327
s29764,11,5431,347,Stock_29764
s41961,12,4910,249,Stock_41961
s29115,13,6266,351,Stock_29115
s7297,14,6488,104,Stock_7297
s17627,15,4335,393,Stock_17627
s17643,16,7868,346,Stock_17643
s15205,17,7572,392,Stock_15205
s20054,18,9368,151,Stock_20054
s15686,19,8454,347,Stock_15686
s44688,20,2371,250,Stock_44688
s36061,21,9863,186,Stock_36061
s45190,22,8696,97,Stock_45190
s8956,23,3803,391,Stock_8956
s43017,24,4152,424,Stock_43017
s8645,25,6225,115,Stock_8645
s41228,26,9760,391,Stock_41228
s28318,27,5919,427,Stock_28318
s48200,28,4666,373,Stock_48200
s34770,29,1044,373,Stock_34770
s11400,30,580,228,Stock_11400
s49,31,4858,219,Stock_49
s25303,32,3902,64,Stock_25303
s39381,33,5165,118,Stock_39381
s42981,34,1883,196,Stock_42981
s7764,35,4046,469,Stock_7764
s61,36,1499,402,Stock_61
s11630,37,6956,432,Stock_11630
s27839,38,6813,228,Stock_27839
s36994,39,1974,335,Stock_36994
s31367,40,9825,350,Stock_31367
s36902,41,4268,62,Stock_36902
s17325,42,3347,253,Stock_17325
s9506,43,4379,73,Stock_9506
s13461,44,2385,346,Stock_13461
s41385,45,8963,473,Stock_41385
s41122,46,1577,271,Stock_41122
s48927,47,8391,299,Stock_48927
s9705,48,9249,376,Stock_9705
s6053,49,3668,158,Stock_6053
s46831,50,3157,244,Stock_46831
s23269,51,2688,112,Stock_23269
s14001,52,397,61,Stock_14001
s18485,53,3788,393,Stock_18485
s15836,54,8943,222,Stock_15836
s21969,55,8427,364,Stock_21969
s26822,56,4464,293,Stock_26822
s18790,57,2222,339,Stock_18790
s45993,58,2063,478,Stock_45993
s19662,59,5537,239,Stock_19662
s23433,60,1747,214,Stock_23433
s16695,61,2938,103,Stock_16695
s18764,62,9741,320,Stock_18764
s7614,63,3297,258,Stock_7614
s32531,64,2420,159,Stock_32531
s12337,65,555,324,Stock_12337
s6796,66,1418,442,Stock_6796
s13693,67,7673,122,Stock_13693
s17178,68,6622,58,Stock_17178
s43456,69,7984,270,Stock_43456
s47088,70,1553,114,Stock_47088
s24970,71,4625,115,Stock_24970
s11546,72,923,208,Stock_11546
s44972,73,4329,88,Stock_44972
s12623,74,5551,251,Stock_12623
s18815,75,8987,401,Stock_18815
s9557,76,2333,482,Stock_9557
s28053,77,1081,458,Stock_28053
s48636,78,7826,129,Stock_48636
s40437,79,8028,397,Stock_40437
s32353,80,9846,341,Stock_32353
s2360,81,9421,200,Stock_2360
s5143,82,9464,404,Stock_5143
s34406,83,4656,489,Stock_34406
s2983,84,1010,457,Stock_2983
s35661,85,2072,415,Stock_35661
s47149,86,8555,366,Stock_47149
s27178,87,8642,345,Stock_27178
s23550,88,2954,247,Stock_23550
s49279,89,7048,142,Stock_49279
s23012,90,9539,166,Stock_23012
s6745,91,6346,280,Stock_6745
s9949,92,4227,78,Stock_9949
s3919,93,8403,385,Stock_3919
s32002,94,6904,238,Stock_32002
s33900,95,6813,425,Stock_33900
s23397,96,734,65,Stock_23397
s29905,97,2801,494,Stock_29905
s26442,98,3030,348,Stock_26442
s24559,99,5702,436,Stock_24559
s44584,100,8140,62,Stock_44584
s4976,101,3757,202,Stock_4976
s44097,102,9774,148,Stock_44097
s18878,103,5779,432,Stock_18878
s12102,104,6243,158,Stock_12102
s49971,105,4524,110,Stock_49971
s22406,106,7882,249,Stock_22406
s39021,107,1069,295,Stock_39021
s26690,108,9915,402,Stock_26690
s36898,109,8650,301,Stock_36898
s24147,110,6544,293,Stock_24147
s15790,111,9852,361,Stock_15790
s301,112,4080,264,Stock_301
s26153,113,9148,442,Stock_26153
s12627,114,2129,357,Stock_12627
s31188,115,5968,145,Stock_31188
s10819,116,825,350,Stock_10819
s24394,117,8775,207,Stock_24394
s42697,118,6264,407,Stock_42697
s22051,119,4109,195,Stock_22051
s49677,120,8160,277,Stock_49677
s39970,121,7763,181,Stock_39970
s40725,122,1818,227,Stock_40725
s39050,123,5008,436,Stock_39050
s33651,124,7132,497,Stock_33651
s9253,125,3312,370,Stock_9253
s43836,126,3670,204,Stock_43836
s23068,127,4973,417,Stock_23068
s14136,128,2114,363,Stock_14136
s35536,129,692,94,Stock_35536
s24318,130,2999,333,Stock_24318
s4359,131,562,141,Stock_4359
s37742,132,9596,83,Stock_37742
s28759,133,5075,152,Stock_28759
s21307,134,9525,182,Stock_21307
s15315,135,2484,442,Stock_15315
s22124,136,985,277,Stock_22124
s33215,137,4337,306,Stock_33215
s32784,138,1029,84,Stock_32784
s46280,139,5598,234,Stock_46280
s25755,140,9956,284,Stock_25755
s36025,141,2818,79,Stock_36025
s15111,142,5787,247,Stock_15111
s39043,143,5251,119,Stock_39043
s4961,144,2900,283,Stock_4961
s21100,145,1388,359,Stock_21100
s40379,146,2364,433,Stock_40379
s35807,147,6971,372,Stock_35807
s143,148,9092,59,Stock_143
s33570,149,7703,240,Stock_33570
s22401,150,682,384,Stock_22401
s38619,151,980,342,Stock_38619
s8553,152,6440,284,Stock_8553
s14382,153,169,312,Stock_14382
s39981,154,3966,155,Stock_39981
s5264,155,8630,320,Stock_5264
s18222,156,8739,54,Stock_18222
s42575,157,7125,338,Stock_42575
s24867,158,7632,170,Stock_24867
s26803,159,3348,321,Stock_26803
s28140,160,2207,309,Stock_28140
s14208,161,8013,310,Stock_14208
s28542,162,1408,400,Stock_28542
s39551,163,7347,127,Stock_39551
s44146,164,3331,223,Stock_44146
s470,165,3081,335,Stock_470
s27762,166,8914,104,Stock_27762
s749,167,5928,488,Stock_749
s23095,168,1669,147,Stock_23095
s364,169,7192,355,Stock_364
s21950,170,2877,308,Stock_21950
s40189,171,8272,100,Stock_40189
s48763,172,506,62,Stock_48763
s40048,173,3040,157,Stock_40048
s19536,174,9573,450,Stock_19536
s37000,175,7819,488,Stock_37000
s20380,176,7509,477,Stock_20380
s48608,177,362,187,Stock_48608
s3898,178,3721,84,Stock_3898
s19793,179,3502,199,Stock_19793
s483,180,5915,451,Stock_483
s48104,181,6178,82,Stock_48104
s30135,182,6777,155,Stock_30135
s49551,183,8783,312,Stock_49551
s4422,184,8369,436,Stock_4422
s22784,185,4069,141,Stock_22784
s14615,186,8357,362,Stock_14615
s30658,187,7345,397,Stock_30658
s33062,188,1982,70,Stock_33062
s40166,189,6167,287,Stock_40166
s4573,190,5369,185,Stock_4573
s10330,191,9040,464,Stock_10330
s41510,192,1372,109,Stock_41510
s12669,193,1338,437,Stock_12669
s36142,194,8859,57,Stock_36142
s48162,195,9252,96,Stock_48162
s23474,196,6809,273,Stock_23474
s37930,197,249,420,Stock_37930
s25284,198,9039,341,Stock_25284
s40287,199,9120,498,Stock_40287
s1128,200,9978,105,Stock_1128
s11095,201,2027,129,Stock_11095
s24858,202,8431,107,Stock_24858
s34183,203,5008,297,Stock_34183
s36736,204,1714,186,Stock_36736
s37095,205,3993,332,Stock_37095
s9910,206,4955,66,Stock_9910
s38696,207,1858,451,Stock_38696
s14832,208,1578,223,Stock_14832
s39448,209,4744,64,Stock_39448
s4169,210,3406,150,Stock_4169
s15053,211,5673,363,Stock_15053
s26731,212,7059,479,Stock_26731
s9983,213,9660,78,Stock_9983
s48156,214,1093,500,Stock_48156
s11992,215,7626,70,Stock_11992
s34448,216,5479,210,Stock_34448
s35933,217,3435,58,Stock_35933
s48728,218,7119,498,Stock_48728
s15373,219,2301,423,Stock_15373
s47631,220,8155,278,Stock_47631
s29719,221,1456,332,Stock_29719
s36507,222,6971,349,Stock_36507
s19987,223,8571,260,Stock_19987
s43354,224,8878,499,Stock_43354
s5733,225,3362,80,Stock_5733
s772,226,1922,277,Stock_772
s4788,227,8201,266,Stock_4788
s26194,228,2992,257,Stock_26194
s4549,229,973,363,Stock_4549
s16347,230,4256,425,Stock_16347
s37944,231,2487,416,Stock_37944
s41830,232,7961,397,Stock_41830
s10596,233,5135,239,Stock_10596
s29014,234,4128,290,Stock_29014
s3543,235,9926,240,Stock_3543
s11280,236,6677,366,Stock_11280
s45169,237,6927,331,Stock_45169
s20937,238,2809,252,Stock_20937
s36078,239,1055,412,Stock_36078
s47526,240,6697,359,Stock_47526
s32275,241,2466,337,Stock_32275
s24764,242,410,207,Stock_24764
s17022,243,2043,280,Stock_17022
s4642,244,6219,334,Stock_4642
s39163,245,8887,394,Stock_39163
s45727,246,3680,71,Stock_45727
s10401,247,3986,164,Stock_10401
s39572,248,5695,76,Stock_39572
s11198,249,546,160,Stock_11198
